[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.529662 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.529733 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.529783 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.529819 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.529867 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.529894 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530001 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530038 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530087 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530119 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530167 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530205 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530258 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530291 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530349 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530374 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530435 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530471 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.530510 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.530547 Upload file chunk start for: 
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:20: 2025/06/27 11:08:34.530568 File upload EOF
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/27 11:10:27.641469 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/27 11:10:27.641585 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/27 11:10:27.641741 Conf loaded
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/27 11:10:38.445200 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/27 11:10:38.445314 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/27 11:10:38.445467 Conf loaded
[pearviewer/server/grpc:(*fileServer).UploadFile] | INFO : file.go:12: 2025/06/27 11:10:44.041076 New Upload File Streaming started.
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.013788 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.013918 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014099 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014190 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014247 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014319 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014370 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014449 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014504 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014573 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014623 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014700 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014750 Upload file chunk start for: 
